pair	key	word	pinyin	hsk	voices
11	an1xin1	安心	ānxīn	20	female,male
11	ban1fa1	颁发	bānfā	70	female,male
11	ban1qian1	搬迁	bānqiān	73	female,male
11	bao1za1	包扎	bāozā	104	female,male
11	bei1ai1	悲哀	bēi’āi	137	female,male
11	bei1wei1	卑微	bēiwēi	143	female,male
11	ben1bo1	奔波	bēnbō	155	female,male
11	bi1zhen1	逼真	bīzhēn	176	female,male
11	bian1jiang1	边疆	biānjiāng	197	female,male
11	bian1zhi1	编织	biānzhī	207	female,male
11	biao1qian1	标签	biāoqiān	236	female,male
11	biao1sheng1	飙升	biāoshēng	237	female,male
11	bin1fen1	缤纷	bīnfēn	256	female,male
11	bin1wei1	濒危	bīnwēi	258	female,male
11	bo1tao1	波涛	bōtāo	281	female,male
11	bo1xue1	剥削	bōxuē	282	female,male
11	cang1sang1	沧桑	cāngsāng	389	female,male
11	cao1xin1	操心	cāoxīn	397	female,male
11	chai1qian1	拆迁	chāiqiān	426	female,male
11	chao1biao1	超标	chāobiāo	456	female,male
11	che1jian1	车间	chējiān	465	female,male
11	chi1dai1	痴呆	chīdāi	508	female,male
11	chi1kui1	吃亏	chīkuī	511	female,male
11	chi1xin1	痴心	chīxīn	514	female,male
11	chong1dang1	充当	chōngdāng	533	female,male
11	chou1qian1	抽签	chōuqiān	553	female,male
11	chu1shen1	出身	chūshēn	586	female,male
11	chu1zheng1	出征	chūzhēng	592	female,male
11	chu1zhong1	初衷	chūzhōng	594	female,male
11	chu1zi1	出资	chūzī	595	female,male
11	chuan1suo1	穿梭	chuānsuō	619	female,male
11	chuang1shang1	创伤	chuāngshāng	633	female,male
11	chui1yan1	炊烟	chuīyān	639	female,male
11	cu1cao1	粗糙	cūcāo	684	female,male
11	cuo1shang1	磋商	cuōshāng	702	female,male
11	dan1bian1	单边	dānbiān	762	female,male
11	dan1dang1	担当	dāndāng	764	female,male
11	dan1shen1	单身	dānshēn	769	female,male
11	dang1xin1	当心	dāngxīn	785	female,male
11	di1gu1	低估	dīgū	837	female,male
11	dian1feng1	巅峰	diānfēng	872	female,male
11	dui1ji1	堆积	duījī	982	female,male
11	duo1bian1	多边	duōbiān	1005	female,male
11	duo1xin1	多心	duōxīn	1007	female,male
11	fa1dai1	发呆	fādāi	1033	female,male
11	fan1fan1	翻番	fānfān	1062	female,male
11	fan1shen1	翻身	fānshēn	1064	female,male
11	fan1xin1	翻新	fānxīn	1066	female,male
11	fang1zhen1	方针	fāngzhēn	1099	female,male
11	fen1dan1	分担	fēndān	1151	female,male
12	ai1qiu2	哀求	āiqiú	3	female,male
12	an1ning2	安宁	ānníng	17	female,male
12	an1xiang2	安详	ānxiáng	19	female,male
12	ba1cheng2	八成	bāchéng	37	female,male
12	bao1rong2	包容	bāoróng	102	female,male
12	bao1wei2	包围	bāowéi	103	female,male
12	ben1chi2	奔驰	bēnchí	156	female,male
12	bian1cheng2	编程	biānchéng	195	female,male
12	bian1pai2	编排	biānpái	201	female,male
12	bian1yuan2	边缘	biānyuán	203	female,male
12	biao1shi2	标识	biāoshí	238	female,male
12	bin1lin2	濒临	bīnlín	257	female,male
12	bing1bao2	冰雹	bīngbáo	259	female,male
12	bo1duo2	剥夺	bōduó	276	female,male
12	bo1ji2	波及	bōjí	277	female,male
12	bo1lan2	波澜	bōlán	279	female,male
12	bo1zhe2	波折	bōzhé	283	female,male
12	can1mou2	参谋	cānmóu	373	female,male
12	cang1bai2	苍白	cāngbái	387	female,male
12	cao1lao2	操劳	cāoláo	395	female,male
12	cha1e2	差额	chā’é	413	female,male
12	cha1tu2	插图	chātú	416	female,male
12	chang1kuang2	猖狂	chāngkuáng	441	female,male
12	chao1qian2	超前	chāoqián	458	female,male
12	chao1xi2	抄袭	chāoxí	459	female,male
12	chi1mi2	痴迷	chīmí	513	female,male
12	chou1cha2	抽查	chōuchá	552	female,male
12	chu1ju2	出局	chūjú	577	female,male
12	chu1shen2	出神	chūshén	585	female,male
12	chu1tai2	出台	chūtái	588	female,male
12	chu1tou2	出头	chūtóu	589	female,male
12	chuan1zhuo2	穿着	chuānzhuó	621	female,male
12	chuang1lian2	窗帘	chuānglián	632	female,male
12	chui1niu2	吹牛	chuīniú	637	female,male
12	cui1can2	摧残	cuīcán	691	female,male
12	cui1mian2	催眠	cuīmián	694	female,male
12	da1cheng2	搭乘	dāchéng	709	female,male
12	dan1bo2	单薄	dānbó	763	female,male
12	dang1ji2	当即	dāngjí	780	female,male
12	di1mi2	低迷	dīmí	839	female,male
12	die1fu2	跌幅	diēfú	904	female,male
12	diu1ren2	丢人	diūrén	928	female,male
12	en1qing2	恩情	ēnqíng	1025	female,male
12	en1ren2	恩人	ēnrén	1026	female,male
12	fa1cai2	发财	fācái	1032	female,male
12	fa1jue2	发觉/发掘	fājué/fājué	1037/1038	female,male
